handle,item_code,category,name,fob_usd,landed_thb,retail_thb,retail_usd,retail_eur,source_pricelist
designpark-5w092-58a16a21-00,5W092-58A16A21-00,Slides & Tubes,PE SINGLE SLIDE 900,375.0,19836.59,30517.83,916.7,788.5,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row5
designpark-5w093-58a16a21-00,5W093-58A16A21-00,Slides & Tubes,PE DOUBLE SLIDE 1200,575.0,30416.11,46794.02,1405.61,1209.03,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row6
designpark-5p091-58a12a14-00,5P091-58A12A14-00,Slides & Tubes,FRP OPEN SLIDE 600,815.0,43111.52,66325.42,1992.3,1713.67,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row7
designpark-5p091-58b12a14-00,5P091-58B12A14-00,Slides & Tubes,FRP OPEN SLIDE 900,925.0,48930.25,75277.31,2261.2,1944.96,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row8
designpark-5p091-58c12a14-00,5P091-58C12A14-00,Slides & Tubes,FRP OPEN SLIDE 1200,1265.0,66915.42,102946.8,3092.34,2659.86,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row9
designpark-5p091-58d12a14-00,5P091-58D12A14-00,Slides & Tubes,FRP OPEN SLIDE 1500,1500.0,79346.36,122071.32,3666.81,3153.99,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row10
designpark-5p091-58e12a14-00,5P091-58E12A14-00,Slides & Tubes,FRP OPEN SLIDE 1800,2070.0,109497.98,168458.43,5060.19,4352.5,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row11
designpark-5p090-58f00a00-00,5P090-58F00A00-00,Slides & Tubes,PE TUBE EXIT,235.0,12430.93,19124.51,574.47,494.12,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row12
designpark-5p090-58a30a00-00,5P090-58A30A00-00,Slides & Tubes,PE CURVED TUBE 30 DEGREE,100.0,5289.76,8138.09,244.45,210.27,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row13
designpark-5p090-58a90a00-00,5P090-58A90A00-00,Slides & Tubes,PE CURVED TUBE 90 DEGREE,145.0,7670.15,11800.23,354.46,304.89,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row14
designpark-5p090-58b0300a-00,5P090-58B0300A-00,Slides & Tubes,PE STRAIGHT TUBE SLIDE 300,90.0,4760.77,7324.26,220.01,189.24,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row15
designpark-5p090-58b0600a-00,5P090-58B0600A-00,Slides & Tubes,PE STRAIGHT TUBE SLIDE 600,110.0,5818.73,8951.89,268.9,231.29,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row16
designpark-5p090-58b1000a-00,5P090-58B1000A-00,Slides & Tubes,PE STRAIGHT TUBE SLIDE 1000,145.0,7670.15,11800.23,354.46,304.89,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row17
designpark-3p090-40b0300a-00,3P090-40B0300A-00,Slides & Tubes,PC CLEAR + FRP TUBE SLIDE 300,455.0,24068.4,37028.31,1112.27,956.71,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row18
designpark-3p090-40b0600a-00,3P090-40B0600A-00,Slides & Tubes,PC CLEAR + FRP TUBE SLIDE 600,650.0,34383.42,52897.57,1588.95,1366.73,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row19
designpark-3p090-40b1000a-00,3P090-40B1000A-00,Slides & Tubes,PC CLEAR + FRP TUBE SLIDE 1000,810.0,42847.04,65918.52,1980.08,1703.15,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row20
designpark-ptm12-01,PTM12-01,Fitness (Premium),Upright Cycle,2820.0,149171.17,229494.11,6893.6,5929.5,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row5
designpark-ptm12-02,PTM12-02,Fitness (Premium),Recumbent Cycle,2930.0,154989.9,238446.0,7162.5,6160.79,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row6
designpark-ptm12-03,PTM12-03,Fitness (Premium),Pull Weight,3300.0,174562.0,268556.92,8066.98,6938.77,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row7
designpark-ptm12-04,PTM12-04,Fitness (Premium),Rope Pulling,1920.0,101563.34,156251.29,4693.51,4037.1,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row8
designpark-ptm12-05,PTM12-05,Fitness (Premium),Rolling Waist,2050.0,108440.04,166830.83,5011.3,4310.45,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row9
designpark-ptm12-06,PTM12-06,Fitness (Premium),Cross Country,2830.0,149700.14,230307.91,6918.04,5950.52,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row10
designpark-ptm12-07,PTM12-07,Fitness (Premium),Step Cycle,4140.0,218995.96,336916.86,10120.39,8705.01,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row11
designpark-ptm12-08,PTM12-08,Fitness (Premium),Leg Press,1880.0,99447.44,152996.06,4595.73,3953.0,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row12
designpark-ptm12-09,PTM12-09,Fitness (Premium),Chair Weight,3220.0,170330.19,262046.45,7871.41,6770.56,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row13
designpark-ptm12-10,PTM12-10,Fitness (Premium),Body Sit-up,2190.0,115845.69,178224.14,5353.54,4604.82,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row14
designpark-ptm12-11,PTM12-11,Fitness (Premium),Stretching Roller,1680.0,88867.93,136719.89,4106.82,3532.47,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row15
designpark-ptm12-12,PTM12-12,Fitness (Premium),Twin Arm Warming Up,1900.0,100505.4,154623.69,4644.62,3995.05,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row16
designpark-ptm12-13,PTM12-13,Fitness (Premium),Twin Twist,1680.0,88867.93,136719.89,4106.82,3532.47,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row17
designpark-ptm12-14,PTM12-14,Fitness (Premium),Bar Weight,1620.0,85694.07,131837.03,3960.15,3406.31,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row18
designpark-ptm12-15,PTM12-15,Fitness (Premium),Handle Weight,1280.0,67708.9,104167.54,3129.01,2691.4,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row19
designpark-ptm12-16,PTM12-16,Fitness (Premium),Arm Warming Up,1650.0,87281.0,134278.46,4033.49,3469.39,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row20
designpark-utm-06,UTM-06 🆕,Fitness (Universal),Rope Pulling (U)+Over Wheel (U),1925.0,101827.83,156658.2,4705.74,4047.62,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Universal):row5
designpark-utm-07,UTM-07 🆕,Fitness (Universal),Rope Pulling (U)+Hand Cycle (U),2376.0,125684.64,193360.98,5808.22,4995.92,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Universal):row6
designpark-utm-08,UTM-08 🆕,Fitness (Universal),Warming Arm (U)+Twin Arm Warming Up (U),1881.0,99500.34,153077.45,4598.18,3955.1,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Universal):row7
designpark-utm-09,UTM-09 🆕,Fitness (Universal),Pull Weight (U)+Pull Weight (U),2668.0,141130.73,217124.2,6522.03,5609.89,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Universal):row8
designpark-utm-10,UTM-10 🆕,Fitness (Universal),Rope Pulling (U)+Rope Pulling (G),2002.0,105900.95,162924.54,4893.97,4209.52,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Universal):row9
designpark-utm-11,UTM-11 🆕,Fitness (Universal),Warming Arm (U)+Rolling Waist (G),1996.0,105583.57,162436.26,4879.3,4196.91,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Universal):row10
designpark-utm-12,UTM-12 🆕,Fitness (Universal),Twin Arm Warming Up (U)+Cross Country (G),2838.0,150123.32,230958.95,6937.6,5967.35,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Universal):row11
designpark-utm-13,UTM-13 🆕,Fitness (Universal),Hand Cycle (U)+Upright Twist (G),2145.0,113465.29,174561.98,5243.53,4510.2,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Universal):row12
designpark-ef20-101,EF20-101🆕,Fitness (Elderly Trail),Balance Station,5240.0,277183.3,426435.85,12809.38,11017.93,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Elderly Trail):row5
designpark-ef20-102,EF20-102 🆕,Fitness (Elderly Trail),Rope Course Station,6095.0,322410.72,496016.49,14899.46,12815.71,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Elderly Trail):row6
designpark-ef20-103,EF20-103 🆕,Fitness (Elderly Trail),Stair Walk Station,5115.0,270571.1,416263.23,12503.81,10755.1,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Elderly Trail):row7
designpark-ef20-104,EF20-104 🆕,Fitness (Elderly Trail),Warm up Station,6710.0,354942.73,546065.74,16402.85,14108.84,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Elderly Trail):row8
designpark-sc16-01,SC16-01,Fitness (SMART CROSSFIT),T Type,13530.0,715704.19,1101083.37,33074.61,28448.97,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART CROSSFIT):row5
designpark-sc16-02,SC16-02,Fitness (SMART CROSSFIT),Honeycomb Type,11396.0,602820.77,927416.57,27857.96,23961.9,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART CROSSFIT):row6
designpark-sc16-03,SC16-03,Fitness (SMART CROSSFIT),Square Type,7975.0,421858.17,649012.57,19495.19,16768.7,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART CROSSFIT):row7
designpark-sc16-04,SC16-04,Fitness (SMART CROSSFIT),L Type,9142.0,483589.64,743984.06,22347.97,19222.51,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART CROSSFIT):row8
designpark-sc16-05,SC16-05,Fitness (SMART CROSSFIT),I Type,7920.0,418948.8,644536.62,19360.74,16653.06,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART CROSSFIT):row9
designpark-sm12-01,SM12-01,Fitness (SMART),Upright Twist,650.0,34383.42,52897.57,1588.95,1366.73,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row5
designpark-sm12-02,SM12-02,Fitness (SMART),Recumbent Twist,715.0,37821.76,58187.32,1747.84,1503.4,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row6
designpark-sm12-03,SM12-03,Fitness (SMART),Twin Arm Warming Up,870.0,46020.89,70801.37,2126.75,1829.31,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row7
designpark-sm12-04,SM12-04,Fitness (SMART),Upright Cycle,1200.0,63477.1,97657.08,2933.45,2523.19,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row8
designpark-sm12-05,SM12-05,Fitness (SMART),Recumbent Cycle,1298.0,68661.04,105632.37,3173.01,2729.25,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row9
designpark-sm12-06,SM12-06,Fitness (SMART),Hand Cycle,1375.0,72734.16,111898.71,3361.24,2891.16,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row10
designpark-sm12-07,SM12-07,Fitness (SMART),Rolling Waist,870.0,46020.89,70801.37,2126.75,1829.31,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row11
designpark-sm12-08,SM12-08,Fitness (SMART),Cross Country,1230.0,65064.01,100098.48,3006.78,2586.27,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row12
designpark-sm12-09,SM12-09,Fitness (SMART),Step Up,858.0,45386.12,69824.8,2097.41,1804.08,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row13
designpark-sm12-10,SM12-10,Fitness (SMART),Leg Press,1163.0,61519.89,94645.98,2843.0,2445.39,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row14
designpark-sm12-11,SM12-11,Fitness (SMART),Pull Weight,1167.0,61731.47,94971.49,2852.78,2453.8,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row15
designpark-sm12-12,SM12-12,Fitness (SMART),Chair Weight,1199.0,63424.2,97575.69,2931.0,2521.09,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row16
designpark-sm12-13,SM12-13,Fitness (SMART),Bar Weight,620.0,32796.5,50456.15,1515.61,1303.65,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row17
designpark-sm12-14,SM12-14,Fitness (SMART),Handle Weight,1243.0,65751.68,101156.43,3038.56,2613.6,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row18
designpark-sm12-15,SM12-15,Fitness (SMART),Vertical Bench,815.0,43111.52,66325.42,1992.3,1713.67,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row19
designpark-sm12-16,SM12-16,Fitness (SMART),Body Sit up & Back Extension,1298.0,68661.04,105632.37,3173.01,2729.25,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row20
designpark-sm12-17,SM12-17,Fitness (SMART),Leg Extension,1018.0,53849.73,82845.74,2488.54,2140.51,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row21
designpark-sm12-18,SM12-18,Fitness (SMART),Stretching Roller,765.0,40466.65,62256.38,1870.07,1608.53,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row22
designpark-sm12-e,SM12-E,Fitness (SMART),Elliptical Trainer,1598.0,84530.33,130046.66,3906.37,3360.05,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART):row23
designpark-sm12-01-s,SM12-01-S,Fitness (SMART SENIOR) ,Upright Twist,1038.0,54907.68,84473.35,2537.43,2182.56,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART SENIOR) :row5
designpark-sm12-02-s,SM12-02-S,Fitness (SMART SENIOR) ,Recumbent Twist,1045.0,55277.97,85043.03,2554.54,2197.28,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART SENIOR) :row6
designpark-sm12-03-s,SM12-03-S,Fitness (SMART SENIOR) ,Twin Arm Warming Up,1465.0,77494.95,119223.0,3581.25,3080.4,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART SENIOR) :row7
designpark-sm12-06-s,SM12-06-S,Fitness (SMART SENIOR) ,Upright Cycle,1255.0,66386.46,102133.02,3067.9,2638.84,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART SENIOR) :row8
designpark-sm12-07-s,SM12-07-S,Fitness (SMART SENIOR) ,Recumbent Cycle,1640.0,86752.03,133464.66,4009.04,3448.36,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART SENIOR) :row9
designpark-sm12-08-s,SM12-08-S,Fitness (SMART SENIOR) ,Hand Cycle,1860.0,98389.49,151368.45,4546.84,3910.95,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART SENIOR) :row10
designpark-sm12-09-s,SM12-09-S,Fitness (SMART SENIOR) ,Rolling Waist,990.0,52368.6,80567.08,2420.09,2081.63,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART SENIOR) :row11
designpark-sm12-10-s,SM12-10-S,Fitness (SMART SENIOR) ,Cross Country,1640.0,86752.03,133464.66,4009.04,3448.36,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART SENIOR) :row12
designpark-sm12-11-s,SM12-11-S,Fitness (SMART SENIOR) ,Leg Press,1310.0,69295.83,106608.97,3202.35,2754.48,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART SENIOR) :row13
designpark-sm12-12-s,SM12-12-S,Fitness (SMART SENIOR) ,Stretching Roller,1035.0,54748.99,84229.22,2530.1,2176.25,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART SENIOR) :row14
designpark-sm12-13-s,SM12-13-S,Fitness (SMART SENIOR) ,Foot Massage,980.0,51839.63,79753.28,2395.65,2060.61,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART SENIOR) :row15
designpark-sm12-14-s,SM12-14-S,Fitness (SMART SENIOR) ,Foot Massage (Wheelchair),1023.0,54114.22,83252.65,2500.76,2151.02,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART SENIOR) :row16
designpark-sm12-15-s,SM12-15-S,Fitness (SMART SENIOR) ,Balancing,1175.0,62154.65,95622.54,2872.33,2470.62,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART SENIOR) :row17
designpark-sm12-16-s,SM12-16-S,Fitness (SMART SENIOR) ,Wave Ring,880.0,46549.87,71615.18,2151.19,1850.34,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (SMART SENIOR) :row18
designpark-gtm13-01,GTM13-01,Speed Racers,Speed Racer,5940.0,314211.6,483402.46,14520.56,12489.79,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Speed Racers:row5
designpark-gtm14-02,GTM14-02,Speed Racers,Traffic Signal,10450.0,552779.67,850430.26,25545.43,21972.78,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Speed Racers:row6
designpark-bta12-01,BTA12-01,Play (Dry),Stone Age,25180.0,1331960.95,2049170.69,61553.48,52944.95,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row5
designpark-bta12-02,BTA12-02,Play (Dry),Woods Cabin,23040.0,1218760.14,1875015.6,56322.17,48445.26,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row6
designpark-bta12-03,BTA12-03,Play (Dry),Alice,26100.0,1380626.72,2124041.11,63802.45,54879.39,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row7
designpark-bta12-05,BTA12-05,Play (Dry),Whale & Submarine,31200.0,1650404.36,2539083.63,76269.6,65602.95,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row8
designpark-bta12-06,BTA12-06,Play (Dry),Gold Mine,36590.0,1935522.28,2977726.58,89445.66,76936.28,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row9
designpark-bta12-07,BTA12-07,Play (Dry),Invasion of Earth,33980.0,1797459.63,2765322.51,83065.42,71448.35,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row10
designpark-bta12-08,BTA12-08,Play (Dry),Apollo,68260.0,3610788.51,5555059.25,166864.2,143527.49,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row11
designpark-bta12-09,BTA12-09,Play (Dry),Choo Choo,53380.0,2823672.58,4344111.66,130489.46,112239.93,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row12
designpark-bta12-10,BTA12-10,Play (Dry),Dolmen Family,30430.0,1609673.22,2476420.34,74387.31,63983.91,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row13
designpark-bta12-11,BTA12-11,Play (Dry),Travel with Alice,36800.0,1946630.78,2994816.58,89959.02,77377.84,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row14
designpark-bta12-12,BTA12-12,Play (Dry),Marine Exploration,38410.0,2031795.88,3125839.82,93894.72,80763.12,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row15
designpark-bta12-13,BTA12-13,Play (Dry),Band Music,28100.0,1486421.87,2286802.88,68691.53,59084.71,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row16
designpark-bta12-14,BTA12-14,Play (Dry),Forest,32230.0,1704888.86,2622905.94,78787.47,67768.69,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row17
designpark-boa12-01,BOA12-01,Play (Dry),Blue Sky Original,21910.0,1158985.89,1783055.22,53559.84,46069.25,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Play (Dry):row18
